Customer Key,First Name,Last Name,Full Name,Gender,Email,Date First Purchase,City
11000,Jon,Yang,"Yang, Jon",Male,jon24@adventure-works.com,1/19/2022,Rockhampton
11001,Eugene,Huang,"Huang, Eugene",Male,eugene10@adventure-works.com,1/15/2022,Seaford
11002,Ruben,Torres,"Torres, Ruben",Male,ruben35@adventure-works.com,1/7/2022,Hobart
11003,Christy,Zhu,"Zhu, Christy",Female,christy12@adventure-works.com,12/29/2021,North Ryde
11004,Elizabeth,Johnson,"Johnson, Elizabeth",Female,elizabeth5@adventure-works.com,1/23/2022,Wollongong
11005,Julio,Ruiz,"Ruiz, Julio",Male,julio1@adventure-works.com,12/30/2021,East Brisbane
11006,Janet,Alvarez,"Alvarez, Janet",Female,janet9@adventure-works.com,1/24/2022,Matraville
11007,Marco,Mehta,"Mehta, Marco",Male,marco14@adventure-works.com,1/9/2022,Warrnambool
11008,Rob,Verhoff,"Verhoff, Rob",Female,rob4@adventure-works.com,1/25/2022,Bendigo
11009,Shannon,Carlson,"Carlson, Shannon",Male,shannon38@adventure-works.com,1/27/2022,Hervey Bay
11010,Jacquelyn,Suarez,"Suarez, Jacquelyn",Female,jacquelyn20@adventure-works.com,1/14/2022,East Brisbane
11011,Curtis,Lu,"Lu, Curtis",Male,curtis9@adventure-works.com,12/30/2021,East Brisbane
11012,Lauren,Walker,"Walker, Lauren",Female,lauren41@adventure-works.com,3/16/2024,Bremerton
11013,Ian,Jenkins,"Jenkins, Ian",Male,ian47@adventure-works.com,4/13/2024,Lebanon
11014,Sydney,Bennett,"Bennett, Sydney",Female,sydney23@adventure-works.com,3/23/2024,Redmond
11015,Chloe,Young,"Young, Chloe",Female,chloe23@adventure-works.com,1/18/2024,Burbank
11016,Wyatt,Hill,"Hill, Wyatt",Male,wyatt32@adventure-works.com,2/9/2024,Imperial Beach
11017,Shannon,Wang,"Wang, Shannon",Female,shannon1@adventure-works.com,1/12/2022,Sunbury
11018,Clarence,Rai,"Rai, Clarence",Male,clarence32@adventure-works.com,1/17/2022,Bendigo
11019,Luke,Lal,"Lal, Luke",Male,luke18@adventure-works.com,2/12/2024,Langley
11020,Jordan,King,"King, Jordan",Male,jordan73@adventure-works.com,12/29/2023,Metchosin
11021,Destiny,Wilson,"Wilson, Destiny",Female,destiny7@adventure-works.com,1/23/2024,Beaverton
11022,Ethan,Zhang,"Zhang, Ethan",Male,ethan20@adventure-works.com,1/20/2024,Bellingham
11023,Seth,Edwards,"Edwards, Seth",Male,seth46@adventure-works.com,2/17/2024,Bellflower
11024,Russell,Xie,"Xie, Russell",Male,russell7@adventure-works.com,6/27/2024,Concord
11025,Alejandro,Beck,"Beck, Alejandro",Male,alejandro45@adventure-works.com,1/6/2022,Hawthorne
